oui,company
1CC10C,Intel Corporate
1CC11A,Wavetronix
1CC1BC,Yichip Microelectronics (Hangzhou) Co.,Ltd
1CC1DE,Hewlett Packard
1CC316,MileSight Technology Co., Ltd.
1CC3EB,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
1CC586,Absolute Acoustics
1CC63C,Arcadyan Technology Corporation
1CC72D,Shenzhen Huapu Digital CO.,Ltd
1CC992,Honor Device Co., Ltd.
1CCA41,AO
1CCAE3,IEEE Registration Authority
1CCAE3,:0 Private
1CCAE3,:1 PGA ELECTRONIC
1CCAE3,:2 Insigma Inc
1CCAE3,:3 Shenzhen Smart Device Technology Co.,LTD
1CCAE3,:4 Sunray Medical Apparatus Co.,Ltd.
1CCAE3,:5 TengFeng
1CCAE3,:6 TOKAI RIKA CO., LTD.
1CCAE3,:7 Bird Home Automation GmbH
1CCAE3,:8 OxySec S.r.l.
1CCAE3,:9 SHIN-YOSHA CORPORATION
1CCAE3,:A SIREA
1CCAE3,:B Dream Visions Co., LTD
1CCAE3,:C Gahdeung Elecom
1CCAE3,:D eSight Corporation
1CCAE3,:E Dabi Atlante SA Industrias Medico Odontológicas
1CCAE3,:F Private
1CCB99,TCT mobile ltd
1CCCD6,Xiaomi Communications Co Ltd
1CCDE5,Shanghai Wind Technologies Co.,Ltd
1CD107,Realme Chongqing Mobile Telecommunications Corp.,Ltd.
1CD1BA,Fiberhome Telecommunication Technologies Co.,LTD
1CD1E0,Cisco Systems, Inc
1CD40C,Kriwan Industrie-Elektronik GmbH
1CD5E2,Shenzhen YOUHUA Technology Co., Ltd
1CD6BD,LEEDARSON LIGHTING CO., LTD.
1CD6BE,Wistron Neweb Corporation
1CDA27,vivo Mobile Communication Co., Ltd.
1CDDEA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
1CDE57,Fiberhome Telecommunication Technologies Co.,LTD
1CDEA7,Cisco Systems, Inc
1CDF0F,Cisco Systems, Inc
1CDF52,Texas Instruments
1CE165,Marshal Corporation
1CE192,Qisda Corporation
1CE2CC,Texas Instruments
1CE504,HUAWEI TECHNOLOGIES CO.,LTD
1CE57F,Samsung Electronics Co.,Ltd
1CE61D,Samsung Electronics Co.,Ltd
1CE62B,Apple, Inc.
1CE639,HUAWEI TECHNOLOGIES CO.,LTD
1CE6AD,Huawei Device Co., Ltd.
1CE6C7,Cisco Systems, Inc
1CE85D,Cisco Systems, Inc
1CEA0B,Edgecore Networks Corporation
1CEA1B,Nokia
1CEC72,Allradio Co., Ltd
1CED6F,AVM Audiovisuelles Marketing und Computersysteme GmbH
1CEEC9,Elo touch solutions
1CEEE8,Ilshin Elecom
1CEF03,Guangzhou V-SOLUTION Electronic Technology Co., Ltd.
1CEFCE,bebro electronic GmbH
1CF03E,Wearhaus Inc.
1CF061,SCAPS GmbH
1CF29A,Google, Inc.
1CF42B,Huawei Device Co., Ltd.
1CF4CA,Private
1CF5E7,Turtle Industry Co., Ltd.
1CF8D0,Samsung Electronics Co.,Ltd
1CFA68,TP-LINK TECHNOLOGIES CO.,LTD.
1CFC17,Cisco Systems, Inc
1CFCBB,Realfiction ApS
1CFD08,IEEE Registration Authority
1CFD08,:0 InSeat Solutions, LLC
1CFD08,:1 Shenzhen SEWO Technology Co.,Ltd.
1CFD08,:2 HiHi Ltd
1CFD08,:3 Umeox Innovations Co.,Ltd
1CFD08,:4 SABIK Offshore GmbH
1CFD08,:5 Beijing Hengxin Rainbow Information Technology Co.,Ltd
1CFD08,:6 AB Technology
1CFD08,:7 sunweit industrial limited
1CFD08,:8 ShenZhen DeLippo Technology Co., LTD
1CFD08,:9 Cobham Slip Rings
1CFD08,:A Banmak Technogies Co.,Ltd
1CFD08,:B guangzhou huiqun intelligent technology co. LTD
1CFD08,:C Shanghai YottaTech Co Ltd (上海尧它科技有限公司）
1CFD08,:D Tianjin Keyvia Electric Co.,Ltd
1CFD08,:E MESHBOX FOUNDATION PTE. LTD.
1CFE2B,Amazon Technologies Inc.
1CFEA7,IDentytech Solutins Ltd.
1CFF59,Sichuan Tianyi Comheart Telecom Co., Ltd.
20014F,Linea Research Ltd
2002AF,Murata Manufacturing Co., Ltd.
2002FE,Hangzhou Dangbei Network Technology Co., Ltd
20040F,Dell Inc.
2004F3,Honor Device Co., Ltd.
200505,RADMAX COMMUNICATION PRIVATE LIMITED
2005E8,OOO InProMedia
200889,zte corporation
2008ED,HUAWEI TECHNOLOGIES CO.,LTD
200A0D,IEEE Registration Authority
200A0D,:0 halstrup-walcher GmbH
200A0D,:1 Wideband Systems, Inc.
200A0D,:2 Netinovo Technologies(Shenzhen) Ltd
200A0D,:3 Clearly IP Inc
200A0D,:4 Virtium
200A0D,:5 Shenzhen Zhangyue Technology Co.,Ltd
200A0D,:6 Austin Hughes Electronics Ltd.
200A0D,:7 Tecnint HTE SRL
200A0D,:8 bcheck NV
200A0D,:9 Welzek (Beijing) Technologies  Co, Ltd
200A0D,:A IRSAP
200A0D,:B Amazon Technologies Inc.
200A0D,:C sehwa
200A0D,:D Bently  EL  Co. Ltd.
200A0D,:E HANGZHOU DANGBEI NETWORK TECH.Co.,Ltd
200A5E,Xiangshan Giant Eagle Technology Developing Co., Ltd.
200B16,Texas Instruments
200BC5,Cisco Systems, Inc
200BC7,HUAWEI TECHNOLOGIES CO.,LTD
200BCF,Nintendo Co.,Ltd
200C86,GX India Pvt Ltd
200CC8,NETGEAR
200DB0,Shenzhen Four Seas Global Link Network Technology Co., Ltd.
200E2B,Apple, Inc.
200E95,IEC – TC9 WG43
200F70,FOXTECH
20107A,Gemtek Technology Co., Ltd.
20114E,MeteRSit S.R.L.
201257,Most Lucky Trading Ltd
2012D5,Scientech Materials Corporation
2013E0,Samsung Electronics Co.,Ltd
201582,Apple, Inc.
20163D,Integrated Device Technology (Malaysia) Sdn. Bhd.
201642,Microsoft Corporation
2016B9,Intel Corporate
2016D8,Liteon Technology Corporation
201742,LG Electronics
201746,Paradromics, Inc.
20180E,Shenzhen Sunchip Technology Co., Ltd
201A06,COMPAL INFORMATION (KUNSHAN) CO., LTD.
201A94,Apple, Inc.
201B88,Dongguan Liesheng Electronic Co., Ltd.
201BC9,Juniper Networks
201C3A,Nintendo Co.,Ltd
201D03,Elatec GmbH
201E88,Intel Corporate
201F31,Inteno Broadband Technology AB
201F3B,Google, Inc.
201F54,Raisecom Technology CO., LTD
202027,Shenzhen Sundray Technologies Company Limited
202141,Universal Electronics BV
2021A5,LG Electronics (Mobile Communications)
202564,PEGATRON CORPORATION
202598,Teleview
2025D2,Fiberhome Telecommunication Technologies Co.,LTD
202681,TECNO MOBILE LIMITED
20283E,HUAWEI TECHNOLOGIES CO.,LTD
2028BC,Visionscape Co,. Ltd.
2029B9,Ikotek technology SH Co., Ltd
202AC5,Petite-En
202B20,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
202BC1,HUAWEI TECHNOLOGIES CO.,LTD
202CB7,Kong Yue Electronics  Information Industry (Xinhui) Ltd.
202D07,Samsung Electronics Co.,Ltd
202D23,Collinear Networks Inc.
202DF8,Digital Media Cartridge Ltd.
20311C,vivo Mobile Communication Co., Ltd.
20318D,Giax GmbH
2031EB,HDSN
203233,SHENZHEN BILIAN ELECTRONIC CO.，LTD
20326C,Samsung Electronics Co.,Ltd
2032C6,Apple, Inc.
2034FB,Xiaomi Communications Co Ltd
203626,TP-Link Corporation Limited
20365B,Megafone Limited
2036D7,Shanghai Reacheng  Communication Technology Co.,Ltd
203706,Cisco Systems, Inc
2037A5,Apple, Inc.
2037BC,Kuipers Electronic Engineering BV
203956,HMD Global Oy
203A07,Cisco Systems, Inc
203A43,Intel Corporate
203AEB,zte corporation
203AEF,Sivantos GmbH
203B69,vivo Mobile Communication Co., Ltd.
203CAE,Apple, Inc.
203CC0,Beijing Tosee Technology Co., Ltd.
203D66,ARRIS Group, Inc.
203DB2,HUAWEI TECHNOLOGIES CO.,LTD
203DBD,LG Innotek
204005,feno GmbH
20406A,AMPAK Technology,Inc.
20415A,Smarteh d.o.o.
204181,ESYSE GmbH Embedded Systems Engineering
20443A,Schneider Electric Asia Pacific Ltd
204441,Remote Solution
204569,ITEL MOBILE LIMITED
2046A1,VECOW Co., Ltd
2046F9,Advanced Network Devices (dba:AND)
204747,Dell Inc.
2047DA,Xiaomi Communications Co Ltd
2047ED,BSkyB Ltd
204AAA,Hanscan Spain S.A.
204B22,Sunnovo International Limited
204C03,Aruba, a Hewlett Packard Enterprise Company
204C6D,Hugo Brennenstuhl Gmbh  Co. KG.
204C9E,Cisco Systems, Inc
204E6B,Axxana(israel) ltd
204E71,Juniper Networks
204E7F,NETGEAR
204EF6,AzureWave Technology Inc.
2050E7,AMPAK Technology,Inc.
205383,HUAWEI TECHNOLOGIES CO.,LTD
2053CA,Risk Technology Ltd
205476,Sony Mobile Communications Inc
2054FA,HUAWEI TECHNOLOGIES CO.,LTD
205531,Samsung Electronics Co.,Ltd
205532,Gotech International Technology Limited
205721,Salix Technology CO., Ltd.
20579E,HUNAN FN-LINK TECHNOLOGY LIMITED
2057AF,Shenzhen FH-NET OPTOELECTRONICS CO.,LTD
205869,Ruckus Wireless
2059A0,Paragon Technologies Inc.
205A00,Coval
205B2A,Private
205B5E,Shenzhen Wonhe Technology Co., Ltd
205CFA,Yangzhou ChangLian Network Technology Co,ltd.
205D47,vivo Mobile Communication Co., Ltd.
205E64,Huawei Device Co., Ltd.
205E97,Nokia
205EF7,Samsung Electronics Co.,Ltd
205F3D,Cambridge Communication Systems Ltd
206274,Microsoft Corporation
206296,Shenzhen Malio Technology Co.,Ltd
20635F,Abeeway
206432,SAMSUNG ELECTRO MECHANICS CO., LTD.
2064CB,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
2064DE,Sunitec Enterprise Co.,Ltd
20658E,HUAWEI TECHNOLOGIES CO.,LTD
2066CF,FREEBOX SAS
2066FD,CONSTELL8 NV
20677C,Hewlett Packard Enterprise
2067B1,Pluto inc.
2067E0,Shenzhen iComm Semiconductor CO.,LTD
20689D,Liteon Technology Corporation
206980,Apple, Inc.
206A8A,Wistron Infocomm (Zhongshan) Corporation
206A94,Hitron Technologies. Inc
206AFF,Atlas Elektronik UK Limited
206BE7,TP-LINK TECHNOLOGIES CO.,LTD.
206C8A,Extreme Networks, Inc.
206D31,FIREWALLA INC
206E9C,Samsung Electronics Co.,Ltd
206FEC,Braemac CA LLC
20719E,SF Technology Co.,Ltd
2072A9,Beijing Xiaomi Electronics Co.,Ltd
207355,ARRIS Group, Inc.
207454,vivo Mobile Communication Co., Ltd.
2074CF,Shenzhen Voxtech Co.,Ltd
207600,Actiontec Electronics, Inc
20768F,Apple, Inc.
207693,Lenovo (Beijing) Limited.
207759,OPTICAL NETWORK VIDEO TECHNOLOGIES (SHENZHEN) CO., LTD.
20780B,Delta Faucet Company
207852,Nokia Solutions and Networks GmbH  Co. KG
2078CD,Apple, Inc.
2078F0,Apple, Inc.
207918,Intel Corporate
207BD2,ASIX Electronics Corporation
207C14,Qotom
207C8F,Quanta Microsystems,Inc.
207D74,Apple, Inc.
208058,Ciena Corporation
208097,Shenzhen OXO Technology limited
20826A,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
2082C0,Xiaomi Communications Co Ltd
2083F8,Advanced Digital Broadcast SA
2084F5,Yufei Innovation Software(Shenzhen) Co., Ltd.
20858C,Assa
208593,IEEE Registration Authority
208593,:0 Hemina Spa
208593,:1 Networking Services Corp
208593,:2 Mid Continent Controls, Inc.
208593,:3 UNILUMIN GROUP CO.,LTD
208593,:4 Kloudspot Inc
208593,:5 Wave-In Communication
208593,:6 Eilersen Electric AS
208593,:7 Great Lite International
208593,:8 AASSET SECURITY
208593,:9 Mastodon Design
208593,:A H3 Industries, Inc.
208593,:B IOG Products LLC
208593,:C Regloplas AG
208593,:D Shanghai Kenmyond Industrial Network Equipment Co.,Ltd
208593,:E Dynaudio
208756,SIEMENS AG
2087AC,AES motomation
2087EC,HUAWEI TECHNOLOGIES CO.,LTD
208810,Dell Inc.
20896F,Fiberhome Telecommunication Technologies Co.,LTD
208984,COMPAL INFORMATION (KUNSHAN) CO., LTD.
208986,zte corporation
20898A,Shenzhen Skyworth  Digital  Technology  CO., Ltd
208B37,Skyworth Digital Technology(Shenzhen) Co.,Ltd
208BD1,NXP Semiconductor (Tianjin) LTD.
208C47,Tenstorrent Inc
208C86,HUAWEI TECHNOLOGIES CO.,LTD
20906F,Shenzhen Tencent Computer System Co., Ltd.
209148,Texas Instruments
20918A,PROFALUX
2091D9,IM SPA
2091DF,Apple, Inc.
20934D,FUJIAN STAR-NET COMMUNICATION CO.,LTD
20968A,China Mobile (Hangzhou) Information Technology Co., Ltd.
209727,TELTONIKA NETWORKS UAB
2098D8,Shenzhen Yingdakang Technology CO., LTD
209A7D,Sagemcom Broadband SAS
209AE9,Volacomm Co., Ltd
209BA5,JIAXING GLEAD Electronics Co.,Ltd
209BCD,Apple, Inc.
209BE6,Guangzhou Shiyuan Electronic Technology Company Limited
209CB4,Aruba, a Hewlett Packard Enterprise Company
209E79,Universal Electronics, Inc.
209EF7,Extreme Networks, Inc.
20A171,Amazon Technologies Inc.
20A2E4,Apple, Inc.
20A2E7,Lee-Dickens Ltd
20A5CB,Apple, Inc.
20A60C,Xiaomi Communications Co Ltd
20A680,HUAWEI TECHNOLOGIES CO.,LTD
20A6CD,Hewlett Packard Enterprise
20A766,HUAWEI TECHNOLOGIES CO.,LTD
20A783,miControl GmbH
20A787,Bointec Taiwan Corporation Limited
20A7F9,SHENZHEN OLANBOA TECHNOLOGY CO., LTD
20A8B9,SIEMENS AG
20A90E,TCT mobile ltd
20A99B,Microsoft Corporation
20AA25,IP-NET LLC
20AA4B,Cisco-Linksys, LLC
20AB37,Apple, Inc.
20AB48,HUAWEI TECHNOLOGIES CO.,LTD
20AC9C,China Telecom Corporation Limited
20AD56,Continental Automotive Systems Inc.
20AF1B,SteelSeries ApS
20B001,Technicolor
20B0F7,Enclustra GmbH
20B399,Enterasys
20B5C6,Mimosa Networks
20B730,TeconGroup, Inc
20B780,Toshiba Visual Solutions Corporation Co.,Ltd
20B7C0,OMICRON electronics GmbH
20B82B,Sagemcom Broadband SAS
20B868,Motorola Mobility LLC, a Lenovo Company
20BA36,u-blox AG
20BB76,COL GIOVANNI PAOLO SpA
20BBBC,Hangzhou Ezviz Software Co.,Ltd.
20BBC0,Cisco Systems, Inc
20BBC6,Jabil Circuit Hungary Ltd.
20BECD,eero inc.
20BFDB,DVL
20C047,Verizon
20C06D,SHENZHEN SPACETEK TECHNOLOGY CO.,LTD
20C19B,Intel Corporate
20C1AF,i Wit Digital Co., Limited
20C38F,Texas Instruments
20C3A4,RetailNext
20C60D,Shanghai annijie Information technology Co.,LTD
20C6EB,Panasonic Corporation AVC Networks Company
20C74F,SensorPush
20C8B3,SHENZHEN BUL-TECH CO.,LTD.
20C9D0,Apple, Inc.
20CD39,Texas Instruments
20CD6E,Realme Chongqing Mobile Telecommunications Corp.,Ltd.
20CE2A,IEEE Registration Authority
20CE2A,:0 Annapurna labs
20CE2A,:1 Shanghai Digicube InfoTech Co.,Ltd.
20CE2A,:2 Jabil
20CE2A,:3 Cuculus GmbH
20CE2A,:4 Annapurna labs
20CE2A,:5 Zaber Technologies Inc.
20CE2A,:6 Radarxense BV
20CE2A,:7 Beijing Huadianzhongxin Tech.Co.,Ltd
20CE2A,:8 Intelligraphics
20CE2A,:9 Rugged Monitoring
20CE2A,:A MeshPlusPlus, Inc.
20CE2A,:B Swarovski Optik KG
20CE2A,:C Ariston Thermo s.p.a.
20CE2A,:D LAUDA DR R WOBSER GMBH  CO KG
20CE2A,:E Funkwerk Systems GmbH
20CEC4,Peraso Technologies
20CF30,ASUSTek COMPUTER INC.
20CFAE,Cisco Systems, Inc
20D160,Private
20D21F,Wincal Technology Corp.
20D25F,SmartCap Technologies
20D276,ITEL MOBILE LIMITED
20D390,Samsung Electronics Co.,Ltd
20D5AB,Korea Infocom Co.,Ltd.
20D5BF,Samsung Electronics Co.,Ltd
20D607,Nokia Corporation
20D75A,Posh Mobile Limited
20D778,Texas Instruments
20D80B,Juniper Networks
20D906,Iota, Inc.
20DA22,HUAWEI TECHNOLOGIES CO.,LTD
20DBAB,Samsung Electronics Co., Ltd.
20DC93,Cheetah Hi-Tech, Inc.
20DCE6,TP-LINK TECHNOLOGIES CO.,LTD.
20DCFD,Huawei Device Co., Ltd.
20DE1E,Nokia
20DE88,IC Realtime LLC
20DF3F,Nanjing SAC Power Grid Automation Co., Ltd.
20DF73,HUAWEI TECHNOLOGIES CO.,LTD
20DFB9,Google, Inc.
20E09C,Nokia
20E2A8,Apple, Inc.
20E407,Spark srl
20E46F,vivo Mobile Communication Co., Ltd.
20E52A,NETGEAR
20E564,ARRIS Group, Inc.
20E6DF,eero inc.
20E791,Siemens Healthcare Diagnostics, Inc
20E7B6,Universal Electronics, Inc.
20E874,Apple, Inc.
20E882,zte corporation
20EAC7,SHENZHEN RIOPINE ELECTRONICS CO., LTD
20ED74,Ability enterprise co.,Ltd.
20EE28,Apple, Inc.
20EEC6,Elefirst Science  Tech Co ., ltd
20EFBD,Roku, Inc
20F002,MTData Developments Pty. Ltd.
20F17C,HUAWEI TECHNOLOGIES CO.,LTD
20F19E,ARRIS Group, Inc.
20F375,ARRIS Group, Inc.
20F3A3,HUAWEI TECHNOLOGIES CO.,LTD
20F41B,Shenzhen Bilian electronic CO.,LTD
20F44F,Nokia
20F452,Shanghai IUV Software Development Co. Ltd
20F478,Xiaomi Communications Co Ltd
20F510,Codex Digital Limited
20F543,Hui Zhou Gaoshengda Technology Co.,LTD
20F597,Maasiv, LLC
20F77C,vivo Mobile Communication Co., Ltd.
20F85E,Delta Electronics
20FABB,Cambridge Executive Limited
20FADB,Huahao Kunpeng Technology (chengDu)  Co.,Ltd.
20FDF1,3COM EUROPE LTD
20FE00,Amazon Technologies Inc.
20FECD,System In Frontier Inc.
20FEDB,M2M Solution S.A.S.
20FF36,IFLYTEK CO.,LTD.
2400BA,HUAWEI TECHNOLOGIES CO.,LTD
2400FA,China Mobile (Hangzhou) Information Technology Co., Ltd
24016F,Huawei Device Co., Ltd.
2401C7,Cisco Systems, Inc
24050F,MTN Electronic Co. Ltd
240588,Google, Inc.
2405F5,Integrated Device Technology (Malaysia) Sdn. Bhd.
2406AA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
2406F2,Sichuan Tianyi Comheart Telecom Co.,LTD
24085D,Continental Aftermarket  Services GmbH
240917,Devlin Electronics Limited
240935,Samsung Electronics Co.,Ltd
240995,HUAWEI TECHNOLOGIES CO.,LTD
240A11,TCT mobile ltd
240A63,ARRIS Group, Inc.
240A64,AzureWave Technology Inc.
240AC4,Espressif Inc.
240B0A,Palo Alto Networks
240B2A,Viettel Group
240B88,Taicang TW Electronics
240BB1,KOSTAL Industrie Elektrik GmbH
240D65,Shenzhen Vsun Communication Technology Co., Ltd.
240D6C,SMND
240DC2,TCT mobile ltd
240F5E,Shenzhen z-router Technology Co., Ltd
240F9B,Hangzhou Hikvision Digital Technology Co.,Ltd.
241064,Shenzhen Ecsino Tecnical Co. Ltd
241125,Hutek Co., Ltd.
241145,Xiaomi Communications Co Ltd
241148,Entropix, LLC
241153,Samsung Electronics Co.,Ltd
2411D0,Chongqing Ehs Science and Technology Development Co.,Ltd.
241281,China Mobile Group Device Co.,Ltd.
241407,Xiamen Sigmastar Technology Ltd.
241510,IEEE Registration Authority
241510,:0 Safetrust Inc
241510,:1 SMaBiT GmbH
241510,:2 Nile Global Inc
241510,:3 Kaiyun
241510,:4 Annapurna labs
241510,:5 GANZHOU DEHUIDA TECHNOLOGY CO., LTD
241510,:6 SHANDONG KEHUI POWER AUTOMATION CO. LTD.
241510,:7 SuZhou A-rack Information Technology Co.,Ltd
241510,:8 Private
241510,:9 Topgolf Sweden AB
241510,:A Unitronux(Shenzhen) Intelligence Technology Co.,Ltd
241510,:B Teknic, Inc.
241510,:C Shenzhen Xtooltech Co., Ltd
241510,:D Helen of Troy
241510,:E Satellite Link Technology CO.,LTD
241551,Huawei Device Co., Ltd.
24161B,Cisco Systems, Inc
24166D,HUAWEI TECHNOLOGIES CO.,LTD
24169D,Cisco Systems, Inc
24181D,SAMSUNG ELECTRO-MECHANICS(THAILAND)
2418C0,E. Wehrle GmbH
2418C6,HUNAN FN-LINK TECHNOLOGY LIMITED
241A8C,Squarehead Technology AS
241AE6,Huawei Device Co., Ltd.
241B13,Shanghai Nutshell Electronic Co., Ltd.
241B44,Hangzhou Tuners Electronics Co., Ltd
241B7A,Apple, Inc.
241C04,SHENZHEN JEHE TECHNOLOGY DEVELOPMENT CO., LTD.
241D48,Sichuan Tianyi Comheart Telecom Co.,LTD
241EEB,Apple, Inc.
241F2C,Calsys, Inc.
241FA0,HUAWEI TECHNOLOGIES CO.,LTD
241FBD,Extreme Networks, Inc.
2420C7,Sagemcom Broadband SAS
242124,Nokia
2421AB,Sony Mobile Communications Inc
242361,vivo Mobile Communication Co., Ltd.
24240E,Apple, Inc.
242642,SHARP Corporation.
2426BA,Shenzhen Toptel Technology Co., Ltd.
2426D6,HUAWEI TECHNOLOGIES CO.,LTD
242730,GD Midea Air-Conditioning Equipment Co.,Ltd.
2428FD,Hangzhou Hikvision Digital Technology Co.,Ltd.
242934,Google, Inc.
2429FE,KYOCERA Corporation
242A04,Cisco Systems, Inc
242CFE,Zhejiang Tmall Technology Co., Ltd.
242E02,HUAWEI TECHNOLOGIES CO.,LTD
242E90,PALIT MICROSYSTEMS, LTD
242FFA,Toshiba Global Commerce Solutions
2430F8,Huawei Device Co., Ltd.
243154,HUAWEI TECHNOLOGIES CO.,LTD
243184,SHARP Corporation
2432AE,Hangzhou Hikvision Digital Technology Co.,Ltd.
24336C,Private
2435CC,Zhongshan Scinan Internet of Things Co.,Ltd.
2436DA,Cisco Systems, Inc
24374C,Cisco SPVTG
2437EF,EMC Electronic Media Communication SA
243A82,IRTS
243C20,Dynamode Group
243F30,Oxygen Broadband s.a.
243FAA,Huawei Device Co., Ltd.
2440AE,NIIC Technology Co., Ltd.
24418C,Intel Corporate
2442BC,Alinco,incorporated
2443E2,DASAN Network Solutions
244427,HUAWEI TECHNOLOGIES CO.,LTD
24456B,Huawei Device Co., Ltd.
244597,GEMUE Gebr. Mueller Apparatebau
2446C8,Motorola Mobility LLC, a Lenovo Company
2446E4,HUAWEI TECHNOLOGIES CO.,LTD
24470E,PentronicAB
244845,Hangzhou Hikvision Digital Technology Co.,Ltd.
24497B,Innovative Converged Devices Inc
244B03,Samsung Electronics Co.,Ltd
244B81,Samsung Electronics Co.,Ltd
244BF1,HUAWEI TECHNOLOGIES CO.,LTD
244BFE,ASUSTek COMPUTER INC.
244C07,HUAWEI TECHNOLOGIES CO.,LTD
244CAB,Espressif Inc.
244CE3,Amazon Technologies Inc.
244E7B,IEEE Registration Authority
244E7B,:0 Tekelek Europe Ltd
244E7B,:1 sonoscape
244E7B,:2 RCC TIME CO .,LIMITED
244E7B,:3 Shenzhen Ruixunyun Technology Co.,Ltd.
244E7B,:4 Leshi Internet Information  Technology (Beijing) Corp.
244E7B,:5 Jiangsu Xuanbo Electronic Technologies Co.,Ltd
244E7B,:6 Owasys Advanced Wireless Devices
244E7B,:7 Nanjing Wanlida Technology Co., Ltd.
244E7B,:8 Cyber1st
244E7B,:9 UniMAT Automation Technology Co., Ltd.
244E7B,:A Shenzhen AWT science   technology limited
244E7B,:B Mighty Audio, Inc.
244E7B,:C CHUNGHSIN TECHNOLOGY GROUP CO.,LTD
244E7B,:D Church  Dwight Co., Inc.
244E7B,:E WithWin Technology ShenZhen CO.,LTD
244F1D,iRule LLC
24526A,Zhejiang Dahua Technology Co., Ltd.
2453BF,Enernet
24586E,zte corporation
245880,VIZEO
24590B,White Sky Inc. Limited
245A4C,Ubiquiti Networks Inc.
245AB5,Samsung Electronics Co.,Ltd
245B83,Renesas Electronics (Penang) Sdn. Bhd.
245BA7,Apple, Inc.
245BF0,Liteon, Inc.
245CBF,NCSE
245CC5,Huawei Device Co., Ltd.
245CCB,AXIe Consortium, Inc.
245DFC,IEEE Registration Authority
245DFC,:0 CompanyDeep
245DFC,:1 ARTICONA - Bechtle Logistik  Service GmbH
245DFC,:2 Blue Iris Labs
245DFC,:3 Shenzhen Hailuck Electronic Technology CO.,LTD
245DFC,:4 Suzhou Jiangzhi electronic technology co., Ltd
245DFC,:5 ContactProximity Inc
245DFC,:6 Guangzhou Lango Electronics Technology Co.,Ltd.
245DFC,:7 LTY LLC
245DFC,:8 Cosmicnode
245DFC,:9 TORGOVYY DOM  TEHNOLOGIY LLC
245DFC,:A Tata Sky Limited
245DFC,:B ONLY
245DFC,:C Senix Corporation
245DFC,:D Hunan Honestone lntelligence Technology Co.,Ltd
245DFC,:E Dodge
245E48,Apple, Inc.
245EBE,QNAP Systems, Inc.
245F9F,Huawei Device Co., Ltd.
245FDF,KYOCERA CORPORATION
246081,razberi technologies
24615A,China Mobile Group Device Co.,Ltd.
246278,sysmocom - systems for mobile communications GmbH
2462AB,Espressif Inc.
2462CE,Aruba, a Hewlett Packard Enterprise Company
24649F,Huawei Device Co., Ltd.
2464EF,CYG SUNRI CO.,LTD.
246511,AVM GmbH
246880,Braveridge.co.,ltd.
2468B0,Samsung Electronics Co.,Ltd
24693E,innodisk Corporation
24694A,Jasmine Systems Inc.
246968,TP-LINK TECHNOLOGIES CO.,LTD.
24698E,SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
2469A5,HUAWEI TECHNOLOGIES CO.,LTD
246AAB,IT-IS International
246C60,Huawei Device Co., Ltd.
246C84,Cisco Systems, Inc
246C8A,YUKAI Engineering
246E96,Dell Inc.
246F28,Espressif Inc.
246F8C,Huawei Device Co., Ltd.
247152,Dell Inc.
247189,Texas Instruments
24724A,Nile Global Inc
247260,IOTTECH Corp
2474F7,GoPro
24753A,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
247625,Texas Instruments
247656,Shanghai Net Miles Fiber Optics Technology Co., LTD.
24767D,Cisco SPVTG
247703,Intel Corporate
247823,Panasonic Entertainment  Communication Co., Ltd.
24792A,Ruckus Wireless
2479EF,Greenpacket Berhad, Taiwan
2479F3,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
2479F8,KUPSON spol. s r.o.
247C4C,Herman Miller
247D4D,Texas Instruments
247E12,Cisco Systems, Inc
247E51,zte corporation
247F20,Sagemcom Broadband SAS
247F3C,HUAWEI TECHNOLOGIES CO.,LTD
248000,Westcontrol AS
24813B,Cisco Systems, Inc
2481AA,KSH International Co., Ltd.
2481C7,Huawei Device Co., Ltd.
24828A,Prowave Technologies Ltd.
248498,Beijing Jiaoda Microunion Tech.Co.,Ltd.
2486F4,Ctek, Inc.
248707,SEnergy Corporation
248894,shenzhen lensun Communication Technology LTD
248A07,Mellanox Technologies, Inc.
248BE0,SICHUAN TIANYI COMHEART TELECOMCO., LTD
249038,Universal Biosensors Pty Ltd
2491BB,HUAWEI TECHNOLOGIES CO.,LTD
24920E,Samsung Electronics Co.,Ltd
2493CA,Voxtronic Austria
249442,OPEN ROAD SOLUTIONS , INC.
249493,FibRSol Global Network Limited
249494,Hong Kong Bouffalo Lab Limited
2494CB,ARRIS Group, Inc.
249504,SFR
24952F,Google, Inc.
249745,HUAWEI TECHNOLOGIES CO.,LTD
2497ED,Techvision Intelligent Technology Limited
249AC8,Shenzhen Skyworth  Digital  Technology  CO., Ltd
249AD8,YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.,LTD.
249EAB,HUAWEI TECHNOLOGIES CO.,LTD
